                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5299,                0.54175,                0.92337,                0.94354,                 0.9598,                0.97831,                0.89286,                0.43522,                0.41325,                 0.8306,               0.000307,               0.000307,               0.000307
                     37,                 0.5374,                0.55849,                0.93028,                 0.9371,                0.93209,                 0.9775,                0.89011,                 0.4432,                0.43847,                0.84071,              0.0002872,              0.0002872,              0.0002872
                     38,                 0.5209,                0.53926,                0.91559,                0.96315,                0.95737,                0.98094,                0.91593,                 0.3966,                0.38229,                0.82881,              0.0002674,              0.0002674,              0.0002674
                     39,                0.51739,                0.51472,                0.91809,                0.94786,                 0.9548,                 0.9808,                  0.908,                0.39847,                0.39149,                0.83328,              0.0002476,              0.0002476,              0.0002476
                     40,                0.50326,                0.48075,                0.91727,                0.95927,                0.94767,                0.98333,                 0.9132,                0.37237,                0.38035,                0.82613,              0.0002278,              0.0002278,              0.0002278
                     41,                0.40655,                0.38059,                0.86282,                0.96231,                0.94677,                 0.9828,                0.91716,                0.38864,                0.37674,                0.82956,               0.000208,               0.000208,               0.000208
                     42,                0.40279,                0.36501,                0.85928,                0.96244,                0.96551,                0.98113,                0.92406,                0.36528,                0.35651,                0.82554,              0.0001882,              0.0001882,              0.0001882
                     43,                0.39072,                0.35578,                0.86557,                 0.9563,                0.95983,                0.98022,                0.91985,                0.37274,                0.37045,                0.82473,              0.0001684,              0.0001684,              0.0001684
                     44,                 0.3864,                0.35456,                0.85644,                0.96501,                0.97052,                0.98548,                0.91711,                0.38421,                0.34244,                0.82492,              0.0001486,              0.0001486,              0.0001486
                     45,                0.38278,                0.34944,                0.85679,                0.96276,                0.97442,                0.98523,                0.92141,                0.36658,                0.33932,                0.82462,              0.0001288,              0.0001288,              0.0001288
                     46,                0.37542,                0.34619,                0.85126,                0.96151,                0.96222,                0.97932,                0.92315,                0.35781,                0.37085,                0.81951,               0.000109,               0.000109,               0.000109
                     47,                0.36776,                0.34003,                0.85686,                0.96209,                0.96675,                 0.9821,                0.93214,                0.34147,                0.34581,                0.81498,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.35221,                0.31681,                 0.8373,                0.96614,                0.96763,                0.98229,                0.94121,                0.33976,                0.34061,                0.81606,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.34354,                0.30999,                0.83935,                0.96378,                0.96687,                0.98011,                0.94114,                0.33191,                0.34167,                0.81116,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                 0.3429,                 0.3137,                 0.8405,                0.96188,                0.96616,                0.98204,                0.94489,                 0.3228,                0.33295,                0.80734,               2.98e-05,               2.98e-05,               2.98e-05
